Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st,Proportion.ST,Duration.per.use
2024/1/14,8h4mins,484,2h,120,55,6:31,0.247933884,8.8
2024/1/15,5h46mins,346,3h20mins,200,114,6:42,0.578034682,3.035087719
2024/1/16,5h25mins,325,2h49mins,169,72,7:38,0.52,4.513888889
2024/1/17,4h37mins,277,2h38mins,158,87,8:35,0.570397112,3.183908046
2024/1/18,6h14mins,374,2h2mins,122,117,7:38,0.326203209,3.196581197
2024/1/19,7h13mins,433,2h28mins,148,87,7:31,0.341801386,4.977011494
2024/1/20,4h17mins,257,1h16mins,76,73,8:18,0.295719844,3.520547945
2024/1/21,4h38mins,278,2h38mins,158,104,9:28,0.568345324,2.673076923
2024/1/22,5h20mins,320,2h18mins,138,127,8:47,0.43125,2.519685039
2024/1/23,5h11mins,311,2h39mins,159,120,7:38,0.511254019,2.591666667
2024/1/24,4h32mins,272,2h47mins,167,113,8:48,0.613970588,2.407079646
2024/1/25,5h22mins,322,2h34mins,154,123,7:38,0.47826087,2.617886179
2024/1/26,5h46mins,346,2h27mins,147,81,8:30,0.424855491,4.271604938
2024/1/27,5h16mins,316,1h15mins,75,102,10:05,0.237341772,3.098039216
2024/1/28,5h26mins,326,1h22mins,82,110,9:35,0.251533742,2.963636364
2024/1/29,6h01mins,361,1h15mins,75,113,8:35,0.207756233,3.194690265
2024/1/30,4h44mins,284,1h19mins,79,105,7:38,0.278169014,2.704761905
2024/1/31,4h22mins,262,1h2mins,62,95,6:34,0.236641221,2.757894737
2024/2/1,5h30mins,330,2h40mins,160,135,8:45,0.484848485,2.444444444
2024/2/2,3h34mins,214,31mins,31,102,8:35,0.144859813,2.098039216
2024/2/3,4h37mins,277,32mins,32,50,8:20,0.115523466,5.54
2024/2/4,3h37mins,217,45mins,45,67,9:35,0.207373272,3.23880597
2024/2/5,3h02mins,182,34mins,34,58,8:45,0.186813187,3.137931034
2024/2/6,4h52mins,292,32mins,32,84,6:55,0.109589041,3.476190476
2024/2/7,5h08mins,308,1h23mins,83,86,7:38,0.269480519,3.581395349
2024/2/8,5h17mins,317,1h,60,90,8:10,0.189274448,3.522222222
2024/2/9,4h54mins,294,2h20mins,140,162,7:30,0.476190476,1.814814815
2024/2/10,6h25mins,385,1h19mins,79,60,9:10,0.205194805,6.416666667
2024/2/11,3h52mins,232,40mins,40,75,7:45,0.172413793,3.093333333
2024/2/12,5h27mins,327,1h48mins,108,82,8:10,0.330275229,3.987804878
2024/2/13,4h33mins,273,1h7mins,67,111,7:38,0.245421245,2.459459459
